"exp1_trt","outcome1","compl1","female","age","income","religion","Hindu","imp_rel","education","ideol","empl_status","employed","marital","married","job_worry","year"
-1,NA,0,1,35,3,31,1,2,1,-1,6,0,1,1,NA,2001
-1,NA,0,1,32,3,31,1,2,1,-1,6,0,1,1,NA,2001
2,NA,1,0,52,5,31,1,1,7,5,1,1,1,1,NA,2001
2,NA,1,0,48,3,31,1,1,6,-1,6,0,1,1,NA,2001
2,NA,1,1,26,4,31,1,1,7,-1,6,0,1,1,NA,2001
2,NA,1,0,41,4,31,1,1,7,10,1,1,1,1,NA,2001
2,NA,1,0,27,5,31,1,1,9,8,1,1,1,1,NA,2001
2,NA,1,0,30,5,31,1,1,9,10,7,0,1,1,NA,2001
2,NA,1,1,38,5,31,1,1,6,-1,6,0,1,1,NA,2001
2,NA,1,1,48,4,31,1,1,7,-1,6,0,1,1,NA,2001
2,NA,1,0,25,5,31,1,1,9,10,7,0,6,0,NA,2001
2,NA,1,0,31,5,31,1,1,9,10,1,1,1,1,NA,2001
2,NA,1,1,42,4,31,1,1,6,-1,6,0,1,1,NA,2001
2,NA,1,0,50,3,49,0,1,3,-1,1,1,1,1,NA,2001
2,NA,1,0,24,5,49,0,1,9,3,7,0,6,0,NA,2001
2,NA,1,0,27,5,49,0,1,9,3,2,1,1,1,NA,2001
-1,NA,0,1,65,3,49,0,1,1,-1,6,0,1,1,NA,2001
2,NA,1,0,31,4,49,0,1,8,3,1,1,1,1,NA,2001
-1,NA,0,1,64,3,49,0,1,1,-1,6,0,1,1,NA,2001
2,NA,1,0,51,3,49,0,1,3,-1,1,1,1,1,NA,2001
-1,NA,0,1,66,3,49,0,1,1,-1,6,0,1,1,NA,2001
-1,NA,0,1,48,3,49,0,2,1,-1,6,0,1,1,NA,2001
-1,NA,0,1,29,3,49,0,1,1,-1,6,0,1,1,NA,2001
2,NA,1,0,30,4,49,0,2,8,3,2,1,1,1,NA,2001
-1,NA,0,1,42,3,49,0,1,1,-1,6,0,1,1,NA,2001
2,NA,1,0,32,3,31,1,2,9,3,1,1,1,1,NA,2001
-1,NA,0,0,59,3,31,1,1,3,-1,8,0,1,1,NA,2001
2,NA,1,0,55,4,31,1,1,6,-1,2,1,1,1,NA,2001
1,NA,1,0,32,4,31,1,2,7,-1,1,1,1,1,NA,2001
1,NA,1,0,27,3,31,1,2,7,-1,1,1,1,1,NA,2001
2,NA,1,0,59,3,49,0,1,3,-1,1,1,1,1,NA,2001
-1,NA,0,1,39,3,49,0,1,1,-1,6,0,1,1,NA,2001
1,NA,1,0,31,3,31,1,2,7,-1,1,1,1,1,NA,2001
1,NA,1,0,25,3,31,1,2,7,-1,7,0,6,0,NA,2001
1,NA,1,0,26,5,31,1,2,7,-1,7,0,1,1,NA,2001
-1,NA,0,1,35,3,49,0,2,1,-1,6,0,1,1,NA,2001
-1,NA,0,1,36,3,49,0,1,1,-1,6,0,1,1,NA,2001
2,NA,1,0,58,3,49,0,1,2,-1,2,1,2,0,NA,2001
-1,NA,0,0,46,4,38,0,1,1,-1,3,1,1,1,NA,2001
-1,NA,0,1,23,3,31,1,2,1,-1,8,0,1,1,NA,2001
3,NA,0,0,42,4,31,1,3,9,1,8,0,1,1,NA,2001
-1,NA,0,1,35,3,31,1,3,1,-1,8,0,1,1,NA,2001
3,NA,0,0,40,3,49,0,1,7,-1,8,0,1,1,NA,2001
3,NA,0,0,29,3,31,1,1,6,-1,6,0,1,1,NA,2001
3,NA,0,0,38,3,31,1,2,7,5,8,0,1,1,NA,2001
-1,NA,0,0,35,4,31,1,-1,6,1,6,0,1,1,NA,2001
-1,NA,0,0,24,3,31,1,1,6,-1,3,1,1,1,NA,2001
-1,NA,0,1,73,3,31,1,1,1,-1,8,0,1,1,NA,2001
1,NA,1,0,33,3,31,1,3,6,10,3,1,1,1,NA,2001
2,NA,1,0,24,4,31,1,1,7,-1,3,1,1,1,NA,2001
3,NA,0,0,33,5,31,1,2,7,1,3,1,1,1,NA,2001
3,NA,0,0,47,3,31,1,1,3,-1,4,0,1,1,NA,2001
-1,NA,0,1,68,4,31,1,1,1,-1,6,0,1,1,NA,2001
3,NA,0,0,34,4,31,1,1,6,-1,3,1,1,1,NA,2001
3,NA,0,0,41,4,31,1,1,9,1,3,1,1,1,NA,2001
-1,NA,0,0,38,3,31,1,2,1,-1,8,0,1,1,NA,2001
-1,NA,0,1,29,3,31,1,1,6,-1,6,0,1,1,NA,2001
-1,NA,0,0,62,3,31,1,1,2,-1,3,1,1,1,NA,2001
-1,NA,0,1,37,4,31,1,2,6,-1,6,0,1,1,NA,2001
-1,NA,0,1,53,3,31,1,1,1,-1,6,0,1,1,NA,2001
3,NA,0,0,24,4,31,1,1,8,3,6,0,6,0,NA,2001
3,NA,0,0,30,4,31,1,3,7,5,3,1,1,1,NA,2001
-1,NA,0,1,60,4,31,1,1,1,-1,8,0,1,1,NA,2001
1,NA,1,0,33,4,31,1,1,7,1,3,1,6,0,NA,2001
-1,NA,0,1,33,4,31,1,1,1,-1,6,0,1,1,NA,2001
3,NA,0,1,26,5,31,1,2,8,5,6,0,1,1,NA,2001
-1,NA,0,1,60,3,31,1,1,1,-1,8,0,1,1,NA,2001
-1,NA,0,1,27,4,31,1,1,1,-1,6,0,1,1,NA,2001
4,NA,0,0,33,5,31,1,4,7,5,3,1,1,1,NA,2001
2,NA,1,0,43,5,31,1,3,6,5,3,1,1,1,NA,2001
-1,NA,0,1,45,4,31,1,1,1,-1,6,0,1,1,NA,2001
2,NA,1,0,24,5,31,1,1,8,3,8,0,1,1,NA,2001
4,NA,0,0,23,4,31,1,3,6,5,3,1,1,1,NA,2001
1,NA,1,0,33,5,31,1,1,7,5,8,0,1,1,NA,2001
-1,NA,0,1,24,4,31,1,1,7,-1,6,0,1,1,NA,2001
