"support_war","strong_leader","compliance","female","age","income","religion","hindu","practicing_religion","education","political_ideology","employment","employed","marital_status","married","job_loss"
1,1,1,0,63,2,6,1,2,4,7,4,0,1,1,2
1,0,1,0,56,2,1,0,1,2,9,1,1,1,1,2
0,1,0,0,59,4,6,1,3,3,6,6,0,3,0,2
0,0,0,0,60,3,6,1,2,4,8,1,1,1,1,1
0,0,0,0,59,1,6,1,3,0,3,7,0,1,1,3
1,1,0,0,59,5,6,1,3,4,9,1,1,1,1,1
0,0,0,0,61,5,6,1,1,5,8,1,1,1,1,1
0,0,0,1,56,2,6,1,1,4,5,5,0,1,1,3
1,1,1,0,60,3,6,1,1,4,8,3,0,1,1,1
0,1,0,0,62,4,6,1,1,6,8,4,0,1,1,2
1,1,1,1,59,3,6,1,1,5,6,3,0,1,1,1
1,0,1,0,55,6,1,0,1,4,7,1,1,1,1,1
1,0,0,0,59,4,7,0,2,4,5,3,0,1,1,2
1,1,1,0,64,3,5,0,3,2,8,4,0,1,1,2
0,1,0,0,62,3,6,1,3,4,7,4,0,5,0,2
1,0,0,1,55,4,1,0,1,2,5,5,0,1,1,3
0,0,0,0,63,5,5,0,1,4,5,7,0,1,1,1
1,0,1,0,59,2,1,0,3,3,1,2,0,1,1,3
1,1,1,0,65,3,6,1,3,1,8,4,0,1,1,1
0,0,0,0,55,3,6,1,1,4,6,3,0,3,0,1
1,0,0,1,55,4,6,1,1,5,5,4,0,1,1,1
1,1,0,0,62,3,6,1,1,4,10,2,0,1,1,1
1,1,1,0,64,4,6,1,1,4,8,3,0,1,1,4
0,1,0,1,25,2,6,1,2,3,4,7,0,3,0,4
0,1,0,0,20,2,6,1,2,2,5,1,1,6,0,3
0,1,0,1,24,6,6,1,1,6,8,5,0,6,0,4
1,0,1,0,41,1,6,1,1,1,10,2,0,1,1,3
0,0,0,1,26,9,6,1,3,8,3,3,0,1,1,4
0,1,0,1,35,7,6,1,2,5,8,8,0,1,1,2
1,1,1,1,35,7,6,1,1,4,6,7,0,1,1,2
1,0,0,0,18,3,6,1,3,3,8,1,1,6,0,4
0,1,0,1,33,3,6,1,1,1,10,2,0,1,1,1
1,1,0,1,33,4,6,1,2,4,8,1,1,1,1,2
0,1,0,0,28,10,6,1,1,7,8,8,0,6,0,2
1,1,0,0,33,3,6,1,1,4,5,2,0,1,1,2
0,1,0,0,25,2,6,1,1,4,7,6,0,6,0,1
0,1,0,1,22,3,7,0,1,5,9,3,0,6,0,4
0,1,0,1,32,9,6,1,1,7,10,5,0,1,1,3
1,0,0,0,26,2,6,1,3,2,6,7,0,6,0,1
